fen,side,wdl,dtz
8/8/8/8/8/8/8/K1k3BB b - - 0 1,b,-2,-27
8/8/8/8/8/8/B7/K1k3B1 w - - 0 1,w,2,20
8/8/8/8/8/8/B7/K1k3B1 b - - 0 1,b,-2,-23
8/8/8/8/8/8/2B5/K1k3B1 w - - 0 1,w,2,22
8/8/8/8/8/8/2B5/K1k3B1 b - - 0 1,b,0,0
8/8/8/8/8/8/4B3/K1k3B1 w - - 0 1,w,2,18
8/8/8/8/8/8/4B3/K1k3B1 b - - 0 1,b,-2,-21
8/8/8/8/8/8/6B1/K1k3B1 w - - 0 1,w,2,20
8/8/8/8/8/8/6B1/K1k3B1 b - - 0 1,b,-2,-21
8/8/8/8/8/1B6/8/K1k3B1 w - - 0 1,w,2,1
8/8/8/8/8/1B6/8/K1k3B1 b - - 0 1,b,-2,-23
8/8/8/8/8/3B4/8/K1k3B1 w - - 0 1,w,2,16
8/8/8/8/8/3B4/8/K1k3B1 b - - 0 1,b,-2,-21
8/8/8/8/8/5B2/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/8/8/5B2/8/K1k3B1 b - - 0 1,b,-2,-25
8/8/8/8/8/7B/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/8/8/7B/8/K1k3B1 b - - 0 1,b,-2,-21
8/8/8/8/B7/8/8/K1k3B1 w - - 0 1,w,2,1
8/8/8/8/B7/8/8/K1k3B1 b - - 0 1,b,-2,-21
8/8/8/8/2B5/8/8/K1k3B1 w - - 0 1,w,2,18
8/8/8/8/2B5/8/8/K1k3B1 b - - 0 1,b,-2,-19
8/8/8/8/4B3/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/8/4B3/8/8/K1k3B1 b - - 0 1,b,-2,-25
8/8/8/8/6B1/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/8/6B1/8/8/K1k3B1 b - - 0 1,b,-2,-27
8/8/8/1B6/8/8/8/K1k3B1 w - - 0 1,w,2,18
8/8/8/1B6/8/8/8/K1k3B1 b - - 0 1,b,-2,-19
8/8/8/3B4/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/3B4/8/8/8/K1k3B1 b - - 0 1,b,-2,-23
8/8/8/5B2/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/5B2/8/8/8/K1k3B1 b - - 0 1,b,-2,-27
8/8/8/7B/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/8/7B/8/8/8/K1k3B1 b - - 0 1,b,-2,-27
8/8/B7/8/8/8/8/K1k3B1 w - - 0 1,w,2,18
8/8/B7/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-19
8/8/2B5/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/2B5/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-21
8/8/4B3/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/4B3/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-23
8/8/6B1/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/8/6B1/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-27
8/1B6/8/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/1B6/8/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-21
8/3B4/8/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/3B4/8/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-21
8/5B2/8/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/5B2/8/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-23
8/7B/8/8/8/8/8/K1k3B1 w - - 0 1,w,2,20
8/7B/8/8/8/8/8/K1k3B1 b - - 0 1,b,-2,-27
