fen,side,wdl,dtz
8/8/4k2B/8/8/8/8/2K4B w - - 0 1,w,2,30
8/8/8/8/1k6/8/1B2B3/2K5 w - - 0 1,w,2,18
8/2k5/8/8/4B3/8/1B6/2K5 w - - 0 1,w,2,28
8/k7/8/8/8/6B1/B7/K7 w - - 0 1,w,2,28
B7/8/8/8/8/k3B3/8/2K5 w - - 0 1,w,2,16
3B4/8/8/8/2Bk4/8/8/2K5 w - - 0 1,w,2,32
8/8/6k1/8/3B4/1B6/8/2K5 w - - 0 1,w,2,26
8/8/8/3B4/8/8/5B2/K1k5 w - - 0 1,w,2,18
8/8/2k5/8/2B5/2B5/8/K7 w - - 0 1,w,2,26
8/8/4B3/8/8/2k3B1/8/K7 w - - 0 1,w,2,28
8/8/8/4k3/8/4B3/8/2K5 w - - 0 1,w,0,0
5B2/7B/8/8/8/8/5k2/1K6 w - - 0 1,w,2,26
4B2B/8/8/8/4k3/8/8/K7 w - - 0 1,w,2,32
8/2Bk4/8/8/8/8/8/K7 w - - 0 1,w,0,0
8/2B5/6k1/8/8/8/4B3/1K6 w - - 0 1,w,2,28
7B/8/8/8/7k/7B/8/2K5 w - - 0 1,w,2,26
8/8/8/8/2B5/8/8/1K5k w - - 0 1,w,0,0
8/8/8/4k3/8/8/B7/1KB5 w - - 0 1,w,2,30
8/8/1B6/8/8/8/8/KB3k2 w - - 0 1,w,2,24
3B4/8/8/5B2/8/1k6/8/K7 w - - 0 1,w,2,28
8/2k5/6B1/8/8/B7/8/K7 w - - 0 1,w,2,24
8/4B3/8/8/4k3/1B6/8/K7 w - - 0 1,w,2,32
7B/8/7k/8/8/8/B7/1K6 w - - 0 1,w,2,28
1B6/8/8/8/8/8/8/1BK1k3 w - - 0 1,w,2,22
8/2B5/8/8/8/8/2B2k2/1K6 w - - 0 1,w,2,28
B7/4Bk2/8/8/8/8/8/K7 w - - 0 1,w,2,32
8/8/8/B7/8/6kB/8/K7 w - - 0 1,w,2,34
