fen,wdl,dtz
8/k7/8/8/8/8/8/2K5 b - - 0 1,0,
8/1k6/8/8/8/8/8/2K5 w - - 0 1,0,
8/1k6/8/8/8/8/8/2K5 b - - 0 1,0,
8/2k5/8/8/8/8/8/2K5 w - - 0 1,0,
8/2k5/8/8/8/8/8/2K5 b - - 0 1,0,
8/3k4/8/8/8/8/8/2K5 w - - 0 1,0,
8/3k4/8/8/8/8/8/2K5 b - - 0 1,0,
8/4k3/8/8/8/8/8/2K5 w - - 0 1,0,
8/4k3/8/8/8/8/8/2K5 b - - 0 1,0,
8/5k2/8/8/8/8/8/2K5 w - - 0 1,0,
8/5k2/8/8/8/8/8/2K5 b - - 0 1,0,
8/6k1/8/8/8/8/8/2K5 w - - 0 1,0,
8/6k1/8/8/8/8/8/2K5 b - - 0 1,0,
8/7k/8/8/8/8/8/2K5 w - - 0 1,0,
8/7k/8/8/8/8/8/2K5 b - - 0 1,0,
k7/8/8/8/8/8/8/2K5 w - - 0 1,0,
k7/8/8/8/8/8/8/2K5 b - - 0 1,0,
1k6/8/8/8/8/8/8/2K5 w - - 0 1,0,
1k6/8/8/8/8/8/8/2K5 b - - 0 1,0,
2k5/8/8/8/8/8/8/2K5 w - - 0 1,0,
2k5/8/8/8/8/8/8/2K5 b - - 0 1,0,
3k4/8/8/8/8/8/8/2K5 w - - 0 1,0,
3k4/8/8/8/8/8/8/2K5 b - - 0 1,0,
4k3/8/8/8/8/8/8/2K5 w - - 0 1,0,
4k3/8/8/8/8/8/8/2K5 b - - 0 1,0,
5k2/8/8/8/8/8/8/2K5 w - - 0 1,0,
5k2/8/8/8/8/8/8/2K5 b - - 0 1,0,
6k1/8/8/8/8/8/8/2K5 w - - 0 1,0,
6k1/8/8/8/8/8/8/2K5 b - - 0 1,0,
7k/8/8/8/8/8/8/2K5 w - - 0 1,0,
7k/8/8/8/8/8/8/2K5 b - - 0 1,0,
8/8/8/8/8/8/8/k2K4 w - - 0 1,0,
8/8/8/8/8/8/8/k2K4 b - - 0 1,0,
8/8/8/8/8/8/8/1k1K4 w - - 0 1,0,
8/8/8/8/8/8/8/1k1K4 b - - 0 1,0,
8/8/8/8/8/8/8/3K1k2 w - - 0 1,0,
8/8/8/8/8/8/8/3K1k2 b - - 0 1,0,
8/8/8/8/8/8/8/3K2k1 w - - 0 1,0,
8/8/8/8/8/8/8/3K2k1 b - - 0 1,0,
8/8/8/8/8/8/8/3K3k w - - 0 1,0,
8/8/8/8/8/8/8/3K3k b - - 0 1,0,
8/8/8/8/8/8/k7/3K4 w - - 0 1,0,
8/8/8/8/8/8/k7/3K4 b - - 0 1,0,
8/8/8/8/8/8/1k6/3K4 w - - 0 1,0,
8/8/8/8/8/8/1k6/3K4 b - - 0 1,0,
8/8/8/8/8/8/5k2/3K4 w - - 0 1,0,
8/8/8/8/8/8/5k2/3K4 b - - 0 1,0,
8/8/8/8/8/8/6k1/3K4 w - - 0 1,0,
8/8/8/8/8/8/6k1/3K4 b - - 0 1,0,
8/8/8/8/8/8/7k/3K4 w - - 0 1,0,
8/8/8/8/8/8/7k/3K4 b - - 0 1,0,
8/8/8/8/8/k7/8/3K4 w - - 0 1,0,
8/8/8/8/8/k7/8/3K4 b - - 0 1,0,
8/8/8/8/8/1k6/8/3K4 w - - 0 1,0,
8/8/8/8/8/1k6/8/3K4 b - - 0 1,0,
